/home/prateek119/MusicData/EnglishSongs1/1812 Overture (Tchaikovsky)--BbT0E990IQ.mp3,,,
/home/prateek119/MusicData/EnglishSongs1/a-ha - Take On Me (Official Music Video)-djV11Xbc914.mp3,a-ha,"The genre for ""A2"" is not available in the provided data.",English
/home/prateek119/MusicData/EnglishSongs1/A-HA - THE SUN ALWAYS SHINES ON TV - The 2015 Nobel Peace Prize Concert-YASuyHADoc0.mp3,A-HA,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Air - Johann Sebastian Bach-rrVDATvUitA.mp3,Air,Pop-rock,English
/home/prateek119/MusicData/EnglishSongs1/Alanis Morissette - You Oughta Know (OFFICIAL VIDEO)-NPcyTyilmYY.mp3,Alanis Morissette,Pop-punk / Alternative Rock,English
/home/prateek119/MusicData/EnglishSongs1/Alan Walker - Faded-60ItHLz5WEA.mp3,Alan Walker,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Alessia Cara - Scars To Your Beautiful (Audio)-Em7vc8NWUNY.mp3,Alessia Cara,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Alicia Keys - Fallin' (Official Music Video)-Urdlvw0SSEc.mp3,Alicia Keys,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Alicia Keys - No One (Official Music Video)-rywUS-ohqeE.mp3,Alicia Keys,Hard rock,English
/home/prateek119/MusicData/EnglishSongs1/A Message from Conan O'Brien - The 2016 Nobel Peace Prize Concert-zB2z7HbsalY.mp3,A Message from Conan O'Brien,Pop Rock,English
/home/prateek119/MusicData/EnglishSongs1/Amilcare Ponchielli - Dance of the Hours-W3ILbnHhAzk.mp3,Amilcare Ponchielli,Pop-punk,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Amy Winehouse - Back To Black-TJAfLE39ZZ8.mp3,Amy Winehouse,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Angelic - Lost In The City (Official Music Video)-JzGjtuUP_uU.mp3,Angelic,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Annika Rose - In The End (Official Music Video)-0SRsmkwlBoY.mp3,Annika Rose,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Announcement of the Nobel Peace Prize 2015-v-d-nhIUtxc.mp3,Announcement of the Nobel Peace Prize 2015-v-d-nhIUtxc,Pop-punk/Rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Anthony Flammia - My Life-XLwfRaGrtPs.mp3,Anthony Flammia,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Antonin Dvorak - New World Symphony ~Largo~-uCydQm83cJQ.mp3,Antonin Dvorak,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Antonio Vivaldi - Winter (Full) - The Four Seasons-TZCfydWF48c.mp3,Antonio Vivaldi,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Appalachian Spring-xDRWdNn_nLk.mp3,Appalachian Spring-xDRWdNn_nLk,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ariana Grande - 7 rings-QYh6mYIJG2Y.mp3,Ariana Grande,Pop rock,English
/home/prateek119/MusicData/EnglishSongs1/Ariana Grande - Into You-1ekZEVeXwek.mp3,Ariana Grande,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ariana Grande - One Last Time (Official)-BPgEgaPk62M.mp3,Ariana Grande,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ariana Grande - Side To Side ft. Nicki Minaj-SXiSVQZLje8.mp3,Ariana Grande,Pop rock,"=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Ariana Grande, Social House - boyfriend-9SRxBTtspYM.mp3","Ariana Grande, Social House","Pop-punk, industrial pop, pop rock","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Arthur Rubinstein - Schubert Fantasie, Op. 15, D 760 Wanderer , Allegro (4)-RmOoh-IyssY.mp3",Arthur Rubinstein,Pop-punk/Rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ashkenazy plays Chopin Nocturne Op.9 No.1-eb4VY8gYZt4.mp3,Ashkenazy plays Chopin Nocturne Op.9 No.1-eb4VY8gYZt4,Pop Rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/AURORA - Half The World Away-SYKU7DfEJT4.mp3,AURORA,Pop-rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/AURORA - HALF THE WORLD AWAY - The 2015 Nobel Peace Prize Concert-s5QK3x-Bvo0.mp3,AURORA,Pop rock,English
"/home/prateek119/MusicData/EnglishSongs1/AURORA - MURDER SONG (5,4,3,2,1) - The 2015 Nobel Peace Prize Concert-vh0SWTVwXxw.mp3",AURORA,Pop-punk,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/AURORA - Runaway-d_HlPboLRL8.mp3,AURORA,Pop-punk/Rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/AURORA - RUNAWAY - The 2015 Nobel Peace Prize Concert-Fc7XWW_Ehb8.mp3,AURORA,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/AURORA - Running With The Wolves-06ht9MyJLT4.mp3,AURORA,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ava Max - Sweet but Psycho [Official Music Video]-WXBHCQYxwr0.mp3,Ava Max,Pop rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ava Max - Torn [Official Music Video]-wBmWvvTV0P4.mp3,Ava Max,Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Avicii - The Nights-UtF6Jej8yb4.mp3,Avicii,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Avicii - Wake Me Up (Official Video)-IcrbM1l_BoI.mp3,Avicii,"=AI(""genre of A2"")",English
/home/prateek119/MusicData/EnglishSongs1/Bach - Harpsichord Concerto 5 in Fm BWV1056.wmv-pABWXoMgTVE.mp3,Bach,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bach - Minuet and Badinerie from Orchestral Suite No. 2 in B-l4i51b8ZS-4.mp3,Bach,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bach - Prelude & Fugue No.2 in C minor-JcFHuUJE0mU.mp3,Bach,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bach - Sleepers wake (High Quality)-KyWOIKCtjiw.mp3,Bach,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Backstreet Boys - I Want It That Way (Official Music Video)-4fndeDfaWCg.mp3,Backstreet Boys,Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Barber of Seville - Figaro's Aria-hkMuv0Le3ko.mp3,Barber of Seville,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bastille - Flaws (Official Music Video)-1E36WU9Wzf4.mp3,Bastille,Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beastie Boys - (You Gotta) Fight For Your Right (To Party) [Official Music Video]-eBShN8qT4lk.mp3,Beastie Boys,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bebe Rexha - Not 20 Anymore (Official Music Video)-weRTCk-mJyE.mp3,Bebe Rexha,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beck - Loser (Official Video)-YgSPaXgAdzE.mp3,Beck,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beethoven - Moonlight Sonata (FULL)-4Tr0otuiQuU.mp3,Beethoven,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beethoven's 5th Symphony-_4IRMYuE1hI.mp3,Beethoven's 5th Symphony-_4IRMYuE1hI,"=AI(""genre of A2"")",English
"/home/prateek119/MusicData/EnglishSongs1/Beethoven-Sonata no. 14 in C sharp minor, Op. 27 no. 2 (Moonlight Sonata), Mov. 3-b54tP8cdZgE.mp3","Beethoven-Sonata no. 14 in C sharp minor, Op. 27 no. 2 (Moonlight Sonata), Mov. 3-b54tP8cdZgE","=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Benjamin Britten - Four Sea Interludes from 'Peter Grimes'-VTd2aXLTA84.mp3,Benjamin Britten,"=AI(""genre of A2"")",English
/home/prateek119/MusicData/EnglishSongs1/Benjamin Britten - Lachrymae op.43 (1976)-vUkk3ZlLjIw.mp3,Benjamin Britten,Hard rock,"=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/benny blanco, Juice WRLD - Graduation (Official Music Video)-M3N06KyK3s0.mp3","benny blanco, Juice WRLD","=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beyoncé - Crazy In Love ft. JAY Z-ViwtNLUqkMY.mp3,Beyoncé,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beyoncé - Halo-bnVUHWCynig.mp3,Beyoncé,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beyoncé - Irreplaceable-2EwViQxSJJQ.mp3,Beyoncé,Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Beyoncé - Single Ladies (Put a Ring on It) (Video Version)-4m1EFMoRFvY.mp3,Beyoncé,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Billie Eilish - Ocean Eyes (Official Music Video)-viimfQi_pUw.mp3,Billie Eilish,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Birdy - Skinny Love [Official Music Video]-aNzCDt2eidg.mp3,Birdy,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bizet - Carmen - Overture-pmuFOuh3QHs.mp3,Bizet,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/blink-182 - Not Now-HvcOuExmeJg.mp3,blink-182,Hard Rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Blondie - Heart Of Glass (Official Music Video)-WGU_4-5RaxU.mp3,Blondie,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video]-kn6-c223DUU.mp3,B.o.B,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bon Jovi - Livin' On A Prayer-lDK9QqIzhwk.mp3,Bon Jovi,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Brahms - Hungarian Dance No. 1 - Part 1_9-HbOpcRAUGHg.mp3,Brahms,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/BRDGS • Closure (Official Powerwalking Video)-UNaPkv8G3zU.mp3,BRDGS • Closure (Official Powerwalking Video)-UNaPkv8G3zU,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Britney Spears - ...Baby One More Time-C-u5WLJ9Yk4.mp3,Britney Spears,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Britney Spears - Toxic (Official Music Video)-LOZuxwVk7TU.mp3,Britney Spears,Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bruno Mars - Just The Way You Are [Official Video]-LjhCEhWiKXk.mp3,Bruno Mars,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bruno Mars - The Lazy Song (Official Video)-fLexgOxsZu0.mp3,Bruno Mars,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Bruno Mars - When I Was Your Man (Official Video)-ekzHIouo8Q4.mp3,Bruno Mars,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Burak Yeter - Tuesday (Official Music Video) ft. Danelle Sandoval-Y1_VsyLAGuk.mp3,Burak Yeter,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Calvin Harris - Acceptable in the 80's (Official Video)-dOV5WXISM24.mp3,Calvin Harris,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna-kOkQ4T5WO9E.mp3,Calvin Harris,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Camila Cabello - Liar (Audio)-6-OvO8ZuW98.mp3,Camila Cabello,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Camila Cabello - Shameless-Fp_P_e1cPOE.mp3,Camila Cabello,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Camille Saint-Saëns - Aquarium-YVpl-RNzdE4.mp3,Camille Saint-Saëns,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Camille Saint-Saëns - Danse Macabre-YyknBTm_YyM.mp3,Camille Saint-Saëns,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Carly Rae Jepsen - Call Me Maybe-fWNaR-rxAic.mp3,Carly Rae Jepsen,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Céline Dion - My Heart Will Go On (Live)-WNIPqafd4As.mp3,Céline Dion,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Charlie Puth – I Warned Myself [Official Video]-wjIes1eGAw4.mp3,Charlie Puth – I Warned Myself [Official Video]-wjIes1eGAw4,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Charlie Puth - Mother [Official Video]-jTMzLbz9_r0.mp3,Charlie Puth,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]-3AtDnEC4zak.mp3,Charlie Puth,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin-Etude no. 3 in E major, Op. 10 no. 3, 'Tristesse'-EmQBFLJAIcY.mp3","Chopin-Etude no. 3 in E major, Op. 10 no. 3, 'Tristesse'-EmQBFLJAIcY","=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin - Etude Op.25 no.11 'Winter Wind' (Pollini)-bMipey2Q4hE.mp3,Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin, Fantaisie Impromptu-fBA-38mzabs.mp3","Chopin, Fantaisie Impromptu-fBA-38mzabs","=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin - Funeral March - Orchestrated Version-ZYB3yyu0UrQ.mp3,Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin - Marsz Pogrzebowy _ funeral march-3yh2InVsFag.mp3,Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin - Nocturne No. 8 in D-flat Major, Op. 27, No. 2 (1837)-bVDpXVYUbPA.mp3",Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin - Polonaise in A, Op.40 No.1, ' Military '-W1Qq3RA19G4.mp3",Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin Prelude A Major op 28 No 7-n4WdRx8MMl8.mp3,Chopin Prelude A Major op 28 No 7-n4WdRx8MMl8,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin prelude G - major op. 28 No. 3-RP5i721y2gs.mp3,Chopin prelude G,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin, Prelude in D Minor, Op.28 No.24-1eFUoeuGYs8.mp3","Chopin, Prelude in D Minor, Op.28 No.24-1eFUoeuGYs8",Hard rock,"=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin - Revolutionary Etude-ZpuROwy_8mg.mp3,Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Chopin - Waltzes, Op 70 No. 2, In F minor 432hz-cVvE_a-nXko.mp3",Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chopin Waltz op 64 no.2 in c sharp minor - Michel Mananes CD-BdsrI3N6qy4.mp3,Chopin Waltz op 64 no.2 in c sharp minor,"=AI(""genre of A2"")",English
"/home/prateek119/MusicData/EnglishSongs1/Chopin - Waltz Op. 69, No. 1-cb4zt6IXFhM.mp3",Chopin,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chris Brown - With You-nmjdaBaZe8Y.mp3,Chris Brown,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Christina Aguilera - Beautiful (Official Music Video)-eAfyFTzZDMM.mp3,Christina Aguilera,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Christina Aguilera - Genie In A Bottle (Official Music Video)-kIDWgqDBNXA.mp3,Christina Aguilera,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Christina Perri - A Thousand Years [Official Music Video]-rtOvBOTyX00.mp3,Christina Perri,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Chris Webby - Flawed (feat. Skrizzly Adams) [Official Video]-qUvnRq5UFq8.mp3,Chris Webby,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/CHVRCHES - Lies-81RqEnvczV8.mp3,CHVRCHES,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Ciara ft. Missy Elliott - Work (Official Video)-vD6qaYFVUng.mp3,Ciara ft. Missy Elliott,"=AI(""genre of A2"")",English
/home/prateek119/MusicData/EnglishSongs1/Claude Debussy - Passepied (orchestral version)-zVuHfKDh-NY.mp3,Claude Debussy,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Claude Debussy, Prélude à l'Après-midi d'un faune-bYyK922PsUw.mp3","Claude Debussy, Prélude à l'Après-midi d'un faune-bYyK922PsUw","=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Coldplay - Clocks (Official Video)-d020hcWA_Wg.mp3,Coldplay,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Coldplay - Hymn For The Weekend (Official Video)-YykjpeuMNEk.mp3,Coldplay,"=AI(""genre of A2"")",English
/home/prateek119/MusicData/EnglishSongs1/Coldplay - Speed Of Sound (Official Video)-0k_1kvDh2UA.mp3,Coldplay,"=AI(""genre of A2"")",English
/home/prateek119/MusicData/EnglishSongs1/Coldplay - The Scientist-RB-RcX5DS5A.mp3,Coldplay,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Cooper Phillip 'THANK YOU HEARTBREAK' (Official Video)-mGEl69sgdlc.mp3,Cooper Phillip 'THANK YOU HEARTBREAK' (Official Video)-mGEl69sgdlc,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Creedence Clearwater Revival - Have You Ever Seen The Rain (Official Lyric Video)-g4flAZEgtjs.mp3,Creedence Clearwater Revival,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Culture Club - Do You Really Want To Hurt Me (Official Video)-2nXGPZaTKik.mp3,Culture Club,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Cyndi Lauper - Time After Time (Official Video)-VdQY7BusJNU.mp3,Cyndi Lauper,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Daniel Powter - Bad Day (Official Music Video)-gH476CxJxfg.mp3,Daniel Powter,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Daryl Hall & John Oates - I Can't Go For That (No Can Do) (Official Video)-ccenFp_3kq8.mp3,Daryl Hall & John Oates,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Dave Matthews Band - Crash Into Me (Official Video)-k7in-9E3ImQ.mp3,Dave Matthews Band,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)-ft4jcPSLJfY.mp3","David Guetta, Bebe Rexha & J Balvin","=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack-uO59tfQ2TbA.mp3",David Guetta,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Debby Smith - How Many Miles (Official Music Video)-lpRLg28LHeo.mp3,Debby Smith,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Debussy Children's Corner - Doctor Gradus ad Parnassum-8fAnUOiVKzc.mp3,Debussy Children's Corner,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Debussy ~ Clair de lune ~ 'Moonlight'-pQrWlazGGdc.mp3,Debussy ~ Clair de lune ~ 'Moonlight'-pQrWlazGGdc,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Debussy - Golliwogg's Cakewalk - Children's Corner Suite-i1gE3nyQnKg.mp3,Debussy,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Debussy - La cathédrale engloutie-JAVyKDDsM3s.mp3,Debussy,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/DEF LEPPARD - 'Photograph' (Dublin _ 2011)-_kVYAkK0bkY.mp3,DEF LEPPARD,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Dermot Kennedy - Outnumbered-A48hOToMuRE.mp3,Dermot Kennedy,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Destiny's Child - Say My Name (Official Video)-sQgd6MccwZc.mp3,Destiny's Child,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Destiny's Child - Survivor (Official Music Video) ft. Da Brat-Wmc8bQoL-J0.mp3,Destiny's Child,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Devo - Whip It (Video)-IIEVqFB4WUo.mp3,Devo,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Dido - White Flag (Official Music Video)-j-fWDrZSiZs.mp3,Dido,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Disclosure - Latch feat. Sam Smith (Official Video)-93ASUImTedo.mp3,Disclosure,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/DJ Snake - Let Me Love You ft. Justin Bieber (Official Video)-euCqAq6BRa4.mp3,DJ Snake,"=AI(""genre of A2"")","=AI(""language of A2"")"
/home/prateek119/MusicData/EnglishSongs1/Dmitri Shostakovich - Waltz No. 2-mmCnQDUSO4I.mp3,Dmitri Shostakovich,"=AI(""genre of A2"")","=AI(""language of A2"")"
"/home/prateek119/MusicData/EnglishSongs1/Dr. Dre, Snoop Dogg - Nuthin' But A G Thang-_qkP8SvHvaU.mp3","Dr. Dre, Snoop Dogg","=AI(""genre of A2"")","=AI(""language of A2"")"
